% Model:              SPAD_guard ring_polygate_type3_curve_E(-10V).mph
% Version:            COMSOL 6.2.0.415
% Date:               Nov 27 2024, 20:44
% Dimension:          1
% Nodes:              561
% Expressions:        1
% Description:        Global
% Vp (V)                  Terminal current
0                         4.775288288441268E-15
-0.02                     7.516045931500135E-15
-0.04                     8.871763674812503E-15
-0.06                     1.482556605310435E-14
-0.08                     1.6665406718190833E-14
-0.1                      2.151218180143606E-14
-0.12                     2.5113413861636256E-14
-0.14                     3.3182986665623334E-14
-0.16                     4.1110210001009554E-14
-0.18                     4.923194816946879E-14
-0.2                      5.953625412264214E-14
-0.22                     7.11712156296135E-14
-0.24                     8.311684026074553E-14
-0.26                     9.837616403454043E-14
-0.28                     1.161207038234567E-13
-0.3                      1.342522569794538E-13
-0.32                     1.5643834866583193E-13
-0.34                     1.7804452807916136E-13
-0.36                     2.0400805815415437E-13
-0.38                     2.329813682941971E-13
-0.4                      8.89756358095558E-13
-0.42                     1.0138820319833359E-12
-0.44                     1.1426830673004872E-12
-0.46                     1.2935259436269524E-12
-0.48                     1.45276805374862E-12
-0.5                      1.624228972958763E-12
-0.52                     1.8096660589790302E-12
-0.54                     2.011563909755189E-12
-0.56                     2.2222824677269304E-12
-0.58                     2.4530741579242167E-12
-0.6                      2.6960373310704656E-12
-0.62                     2.957583834442188E-12
-0.64                     3.2348078272615606E-12
-0.66                     3.523966334624265E-12
-0.68                     3.838797250686035E-12
-0.7000000000000001       4.154469070438922E-12
-0.72                     4.495534059918124E-12
-0.74                     4.8527659432785664E-12
-0.76                     5.232009484433266E-12
-0.78                     5.632566134814315E-12
-0.8                      6.124545435203147E-12
-0.8200000000000001       6.493638039702435E-12
-0.84                     7.046813585408935E-12
-0.86                     7.35569411281717E-12
-0.88                     7.866357888936035E-12
-0.9                      8.301507183058725E-12
-0.92                     8.909068160616584E-12
-0.9400000000000001       9.37836827924657E-12
-0.96                     9.924583235345776E-12
-0.98                     1.0455472694277664E-11
-1                        1.0934661436962195E-11
-1.02                     1.1501930600979726E-11
-1.04                     1.2071482194005913E-11
-1.06                     1.274355069675573E-11
-1.08                     1.3250461823470973E-11
-1.1                      1.3857003641305374E-11
-1.12                     1.4474309970355317E-11
-1.1400000000000001       1.5088182296457648E-11
-1.16                     1.5718740549776283E-11
-1.18                     1.634481416617507E-11
-1.2                      1.699260625938195E-11
-1.22                     1.7632173029292174E-11
-1.24                     1.8278973862485775E-11
-1.26                     1.8925133762338862E-11
-1.28                     1.957874206900228E-11
-1.3                      2.0232669629454254E-11
-1.32                     2.087833933943929E-11
-1.34                     2.1545694481124642E-11
-1.36                     2.218551341215762E-11
-1.3800000000000001       2.2837521033074564E-11
-1.4000000000000001       2.349582959974716E-11
-1.42                     2.4144931393852397E-11
-1.44                     2.477515316581097E-11
-1.46                     2.545926673013507E-11
-1.48                     2.605964790385123E-11
-1.5                      2.66852663405764E-11
-1.52                     2.73123538534212E-11
-1.54                     2.7961563228155364E-11
-1.56                     2.8569730322273984E-11
-1.58                     2.917809450578894E-11
-1.6                      2.973786164780243E-11
-1.62                     3.0381576192541055E-11
-1.6400000000000001       3.0908797160635835E-11
-1.6600000000000001       3.161243356164443E-11
-1.68                     3.2232274425669375E-11
-1.7                      3.284575858899746E-11
-1.72                     3.373328727099883E-11
-1.74                     3.4237290697351516E-11
-1.76                     3.45682809437436E-11
-1.78                     3.5026568519956185E-11
-1.8                      3.536964489846898E-11
-1.82                     3.609250762528424E-11
-1.84                     3.6373703814344344E-11
-1.86                     3.6768931978200014E-11
-1.8800000000000001       3.7242040107708177E-11
-1.9000000000000001       3.778123381896152E-11
-1.92                     3.874383784287339E-11
-1.94                     3.899980865966564E-11
-1.96                     3.896325667857049E-11
-1.98                     4.1884988806940407E-11
-2                        3.966977188752869E-11
-2.02                     4.0109505275343555E-11
-2.04                     4.0696488733026845E-11
-2.06                     4.091199792560497E-11
-2.08                     4.2096571201338714E-11
-2.1                      4.147109162001168E-11
-2.12                     4.222658121162545E-11
-2.14                     4.212352231652822E-11
-2.16                     4.254584258950142E-11
-2.18                     4.294539063714091E-11
-2.2                      4.3035383276079405E-11
-2.22                     4.3369330831545375E-11
-2.24                     4.359238266354443E-11
-2.2600000000000002       4.386500638992084E-11
-2.2800000000000002       4.4120272833083064E-11
-2.3000000000000003       4.437497771848799E-11
-2.32                     4.4623904853236364E-11
-2.34                     4.4878559951431005E-11
-2.36                     4.5344736130101463E-11
-2.38                     4.539114368208996E-11
-2.4                      4.5668275493809224E-11
-2.42                     4.596108196294133E-11
-2.44                     4.627069128667247E-11
-2.46                     4.660353636681169E-11
-2.48                     4.694629924433886E-11
-2.5                      4.740640218641789E-11
-2.52                     4.7633990359289994E-11
-2.54                     4.7944590593229654E-11
-2.56                     4.8211779056497787E-11
-2.58                     4.83985364334326E-11
-2.6                      4.862420140893206E-11
-2.62                     4.851507617887117E-11
-2.64                     4.8437212732353E-11
-2.66                     4.828133541787222E-11
-2.68                     4.80801123959919E-11
-2.7                      4.78096799608701E-11
-2.72                     4.7550519951161754E-11
-2.74                     4.7305282874059283E-11
-2.7600000000000002       4.7082139918464214E-11
-2.7800000000000002       4.7200003827399025E-11
-2.8000000000000003       4.673874738196902E-11
-2.82                     4.6611452544940015E-11
-2.84                     4.6495781591464493E-11
-2.86                     4.639447379114053E-11
-2.88                     4.6343785282315786E-11
-2.9                      4.6246556567494004E-11
-2.92                     4.6220173111623926E-11
-2.94                     4.596546406819382E-11
-2.96                     4.602587712462377E-11
-2.98                     4.571070232909044E-11
-3                        4.5586053907968923E-11
-3.02                     4.561664143169291E-11
-3.04                     4.5813487235035795E-11
-3.06                     4.521949460834435E-11
-3.08                     4.5020793901271544E-11
-3.1                      4.484487422373848E-11
-3.12                     4.458161113023829E-11
-3.14                     4.443964954224383E-11
-3.16                     4.424445861944327E-11
-3.18                     4.4084630488617515E-11
-3.2                      4.390028363100218E-11
-3.22                     4.369117590675771E-11
-3.24                     4.3810722365614934E-11
-3.2600000000000002       5.956793380219453E-11
-3.2800000000000002       4.334983998324212E-11
-3.3000000000000003       4.308465950872285E-11
-3.3200000000000003       4.288105689413856E-11
-3.34                     4.249405115156525E-11
-3.36                     4.2322840904341E-11
-3.38                     4.213879267679721E-11
-3.4                      4.194271937247523E-11
-3.42                     4.187824584815192E-11
-3.44                     4.152659165967614E-11
-3.46                     4.141980756767854E-11
-3.48                     4.1179276117124615E-11
-3.5                      4.093088400470557E-11
-3.52                     4.091919520140042E-11
-3.54                     4.063967531324738E-11
-3.56                     4.034353052988414E-11
-3.58                     4.027643658837675E-11
-3.6                      4.018223356962056E-11
-3.62                     3.9951691214344497E-11
-3.64                     4.037874672967179E-11
-3.66                     3.978633390945401E-11
-3.68                     4.094683935230014E-11
-3.7                      3.9457875833905106E-11
-3.72                     4.001972323050759E-11
-3.74                     4.2068453673413936E-11
-3.7600000000000002       3.895229690992544E-11
-3.7800000000000002       3.902384568805938E-11
-3.8000000000000003       3.843812337498833E-11
-3.8200000000000003       3.796656995380511E-11
-3.84                     3.783795776277625E-11
-3.86                     3.766811380325072E-11
-3.88                     3.741904866421681E-11
-3.9                      3.6994361982412244E-11
-3.92                     3.6699035190869476E-11
-3.94                     3.655962978739342E-11
-3.96                     3.673587540141126E-11
-3.98                     3.638568095175102E-11
-4                        3.63449474578699E-11
-4.0200000000000005       3.579708956014452E-11
-4.04                     3.5465750406941813E-11
-4.0600000000000005       3.5271598475165867E-11
-4.08                     3.507907220157681E-11
-4.1                      3.479695450392294E-11
-4.12                     3.459925335604259E-11
-4.14                     3.452048475145248E-11
-4.16                     3.413699075051553E-11
-4.18                     3.40198608934916E-11
-4.2                      3.3862922599103543E-11
-4.22                     3.3523147175824934E-11
-4.24                     3.333863497032741E-11
-4.26                     3.3106163539465266E-11
-4.28                     3.282693629498834E-11
-4.3                      3.264094119336029E-11
-4.32                     3.238783068052705E-11
-4.34                     3.234929380586021E-11
-4.36                     3.200583590847461E-11
-4.38                     3.177547962529028E-11
-4.4                      3.1508867789944794E-11
-4.42                     8.391041827416063E-11
-4.44                     3.445045045828552E-11
-4.46                     3.0931611614287584E-11
-4.48                     3.0686823012381195E-11
-4.5                      3.0474123407561796E-11
-4.5200000000000005       3.028144684666722E-11
-4.54                     2.997891733968342E-11
-4.5600000000000005       2.987530108563739E-11
-4.58                     2.9547437648227846E-11
-4.6000000000000005       2.938322753583296E-11
-4.62                     2.911839180378278E-11
-4.64                     2.8903549969408863E-11
-4.66                     2.8688431301582825E-11
-4.68                     2.8475868515821565E-11
-4.7                      2.8263372234395555E-11
-4.72                     2.812141856123908E-11
-4.74                     2.7842789726474532E-11
-4.76                     2.7633643752531648E-11
-4.78                     2.7430191481229837E-11
-4.8                      2.7228140160597224E-11
-4.82                     2.7148254375602752E-11
-4.84                     2.6859732765084757E-11
-4.86                     2.6672709689921987E-11
-4.88                     2.641866475929266E-11
-4.9                      2.6261138154955013E-11
-4.92                     2.6026528003680048E-11
-4.94                     2.583391328296027E-11
-4.96                     2.5975219491507007E-11
-4.98                     2.5464968620467926E-11
-5                        2.5288672548389707E-11
-5.0200000000000005       2.5088440454750444E-11
-5.04                     2.4912517929509155E-11
-5.0600000000000005       2.4899828508428803E-11
-5.08                     2.4548008536540386E-11
-5.1000000000000005       2.4386060821466843E-11
-5.12                     2.42864415374595E-11
-5.14                     2.4021006806939565E-11
-5.16                     2.402520155971738E-11
-5.18                     2.3792146232165675E-11
-5.2                      2.351379769703118E-11
-5.22                     2.3346969684681928E-11
-5.24                     2.3222053744654988E-11
-5.26                     2.3067552193792636E-11
-5.28                     2.288328210611512E-11
-5.3                      2.2761411379450547E-11
-5.32                     2.2602203925116125E-11
-5.34                     2.2490575680316938E-11
-5.36                     2.2333358649034913E-11
-5.38                     2.2117613961163873E-11
-5.4                      2.198498473608279E-11
-5.42                     2.1836249163048774E-11
-5.44                     2.1778632375853176E-11
-5.46                     2.1592784350776154E-11
-5.48                     2.143188606005224E-11
-5.5                      2.1258135677506057E-11
-5.5200000000000005       2.297132467936906E-11
-5.54                     2.130294210400563E-11
-5.5600000000000005       2.088650969891027E-11
-5.58                     2.0692507992040644E-11
-5.6000000000000005       2.0620442767241514E-11
-5.62                     2.0409816502552115E-11
-5.64                     2.031017696459734E-11
-5.66                     2.0192666427491527E-11
-5.68                     1.998724059473765E-11
-5.7                      1.9838359581319162E-11
-5.72                     1.9694101465273967E-11
-5.74                     1.9644963012531733E-11
-5.76                     1.9460213475340777E-11
-5.78                     1.930834853840484E-11
-5.8                      1.9238425078450163E-11
-5.82                     1.909368431257275E-11
-5.84                     1.9143228371134667E-11
-5.86                     2.3677872128459264E-11
-5.88                     1.9056830874344256E-11
-5.9                      3.518229971284279E-11
-5.92                     1.9390932886532856E-11
-5.94                     1.834334238213639E-11
-5.96                     1.863638452726067E-11
-5.98                     1.8022732681538256E-11
-6                        2.4599257983402022E-11
